t 	 x 	 z
6.7	3.75638	-337.01
6.71	0.386278	-340.053
6.72	-3.01425	-340.365
6.73	-6.4179	-337.924
6.74	-9.79714	-332.725
6.75	-13.1244	-324.79
6.76	-16.3723	-314.159
6.77	-19.5139	-300.897
6.78	-22.5229	-285.091
6.79	-25.3738	-266.848
6.8	-28.0422	-246.295
6.81	-30.5052	-223.581
6.82	-32.741	-198.871
6.83	-34.7297	-172.351
6.84	-36.4532	-144.22
6.85	-37.8954	-114.693
6.86	-39.0424	-83.9978
6.87	-39.8823	-52.3735
6.88	-40.4061	-20.0688
6.89	-40.6068	12.6601
6.9	-40.4802	45.5516
6.91	-40.0246	78.3406
6.92	-39.2412	110.761
6.93	-38.1336	142.546
6.94	-36.7082	173.434
6.95	-34.9738	203.168
6.96	-32.9422	231.497
6.97	-30.6272	258.18
6.98	-28.0454	282.988
6.99	-25.2155	305.705
7	-22.1585	326.129
7.01	-18.8972	344.077
7.02	-15.4564	359.384
7.03	-11.8626	371.904
7.04	-8.14352	381.513
7.05	-4.3284	388.109
7.06	-0.447311	391.615
7.07	3.46884	391.977
7.08	7.38861	389.167
7.09	11.2803	383.183
7.1	15.1121	374.046
7.11	18.8526	361.805
7.12	22.4706	346.534
7.13	25.936	328.333
7.14	29.2193	307.325
7.15	32.2925	283.657
7.16	35.1291	257.5
7.17	37.7041	229.046
7.18	39.9946	198.505
7.19	41.9796	166.11
7.2	43.6407	132.106
7.21	44.9618	96.7573
7.22	45.9294	60.3383
7.23	46.5327	23.1355
7.24	46.7641	-14.556
7.25	46.6185	-52.4349
7.26	46.0942	-90.1959
7.27	45.1922	-127.532
7.28	43.9169	-164.138
7.29	42.2755	-199.711
7.3	40.2784	-233.954
7.31	37.9389	-266.579
7.32	35.2731	-297.31
7.33	32.3	-325.881
7.34	29.0412	-352.044
7.35	25.5207	-375.567
7.36	21.7651	-396.239
7.37	17.8027	-413.869
7.38	13.664	-428.289
7.39	9.38109	-439.357
7.4	4.98753	-446.955
7.41	0.517971	-450.995
7.42	-3.99198	-451.415
7.43	-8.50613	-448.181
7.44	-12.9879	-441.291
7.45	-17.4009	-430.771
7.46	-21.7086	-416.677
7.47	-25.8753	-399.093
7.48	-29.8663	-378.134
7.49	-33.6476	-353.942
7.5	-37.187	-326.687
7.51	-40.4539	-296.566
7.52	-43.4196	-263.798
7.53	-46.0575	-228.628
7.54	-48.3438	-191.322
7.55	-50.257	-152.163
7.56	-51.7787	-111.455
7.57	-52.8932	-69.5143
7.58	-53.5884	-26.6708
7.59	-53.8551	16.7357
7.6	-53.6877	60.3583
7.61	-53.0841	103.845
7.62	-52.0457	146.844
7.63	-50.5772	189.001
7.64	-48.6872	229.968
7.65	-46.3876	269.405
7.66	-43.6935	306.979
7.67	-40.6237	342.37
7.68	-37.2	375.276
7.69	-33.4473	405.408
7.7	-29.3932	432.5
7.71	-25.0682	456.308
7.72	-20.5051	476.614
7.73	-15.739	493.223
7.74	-10.8067	505.971
7.75	-5.74702	514.725
7.76	-0.599775	519.38
7.77	4.59402	519.866
7.78	9.79268	516.145
7.79	14.9541	508.212
7.8	20.0362	496.1
7.81	24.9972	479.87
7.82	29.7959	459.622
7.83	34.3922	435.488
7.84	38.747	407.63
7.85	42.8234	376.245
7.86	46.5858	341.558
7.87	50.0014	303.824
7.88	53.0396	263.322
7.89	55.6728	220.36
7.9	57.8764	175.265
7.91	59.6291	128.385
7.92	60.913	80.0859
7.93	61.7138	30.7464
7.94	62.0213	-19.2418
7.95	61.8289	-69.479
7.96	61.1341	-119.56
7.97	59.9385	-169.079
7.98	58.2477	-217.629
7.99	56.0714	-264.81
8	53.4233	-310.228
8.01	50.321	-353.5
8.02	46.786	-394.26
8.03	42.8434	-432.157
8.04	38.5218	-466.86
8.05	33.8532	-498.063
8.06	28.8726	-525.484
8.07	23.6178	-548.871
8.08	18.129	-568.001
8.09	12.449	-582.686
8.1	6.62217	-592.77
8.11	0.694478	-598.133
8.12	-5.28686	-598.696
8.13	-11.2738	-594.414
8.14	-17.218	-585.282
8.15	-23.0708	-571.335
8.16	-28.7841	-552.648
8.17	-34.3106	-529.333
8.18	-39.6039	-501.541
8.19	-44.6193	-469.462
8.2	-49.314	-433.32
8.21	-53.6472	-393.376
8.22	-57.5809	-349.922
8.23	-61.0801	-303.281
8.24	-64.113	-253.806
8.25	-66.651	-201.875
8.26	-68.6698	-147.888
8.27	-70.1487	-92.2651
8.28	-71.0713	-35.4446
8.29	-71.4257	22.1231
8.3	-71.2045	79.978
8.31	-70.4047	137.654
8.32	-69.0282	194.681
8.33	-67.0814	250.594
8.34	-64.5754	304.93
8.35	-61.5261	357.236
8.36	-57.9538	407.073
8.37	-53.8831	454.015
8.38	-49.3429	497.66
8.39	-44.3663	537.628
8.4	-38.99	573.565
8.41	-33.2544	605.147
8.42	-27.2029	632.083
8.43	-20.8821	654.117
8.44	-14.3409	671.032
8.45	-7.63059	682.648
8.46	-0.804111	688.828
8.47	6.08417	689.48
8.48	12.979	684.552
8.49	19.8245	674.039
8.5	26.5649	657.981
8.51	33.1447	636.463
8.52	39.5093	609.616
8.53	45.6055	577.614
8.54	51.3816	540.673
8.55	56.7883	499.054
8.56	61.7789	453.055
8.57	66.3094	403.015
8.58	70.3396	349.304
8.59	73.8326	292.329
8.6	76.7559	232.524
8.61	79.0812	170.352
8.62	80.7847	106.296
8.63	81.8476	40.8608
8.64	82.2562	-25.4358
8.65	82.0019	-92.0633
8.66	81.0813	-158.485
8.67	79.4964	-224.161
8.68	77.2548	-288.553
8.69	74.3693	-351.129
8.7	70.858	-411.368
8.71	66.7443	-468.763
8.72	62.0567	-522.826
8.73	56.8284	-573.092
8.74	51.0975	-619.123
8.75	44.9063	-660.512
8.76	38.3011	-696.886
8.77	31.3323	-727.91
8.78	24.0532	-753.289
8.79	16.5203	-772.772
8.8	8.79256	-786.154
8.81	0.931024	-793.276
8.82	-7.00173	-794.03
8.83	-14.942	-788.358
8.84	-22.8256	-776.255
8.85	-30.5882	-757.767
8.86	-38.1658	-732.99
8.87	-45.4957	-702.076
8.88	-52.5165	-665.224
8.89	-59.1687	-622.686
8.9	-65.3956	-574.759
8.91	-71.1432	-521.789
8.92	-76.3611	-464.163
8.93	-81.0027	-402.31
8.94	-85.0258	-336.698
8.95	-88.3928	-267.827
8.96	-91.0711	-196.229
8.97	-93.0333	-122.462
8.98	-94.258	-47.1045
8.99	-94.729	29.2444
9	-94.4366	105.975
9.01	-93.3768	182.469
9.02	-91.5521	258.104
9.03	-88.9711	332.261
9.04	-85.6485	404.328
9.05	-81.6052	473.703
9.06	-76.8682	539.803
9.07	-71.4702	602.066
9.08	-65.4495	659.957
9.09	-58.8499	712.971
9.1	-51.7202	760.64
9.11	-44.1138	802.533
9.12	-36.0885	838.265
9.13	-27.7058	867.497
9.14	-19.0309	889.939
9.15	-10.1315	905.354
9.16	-1.07794	913.56
9.17	8.05766	914.433
9.18	17.202	907.906
9.19	26.2811	893.973
9.2	35.2208	872.685
9.21	43.9476	844.156
9.22	52.3892	808.559
9.23	60.4748	766.124
9.24	68.136	717.139
9.25	75.3074	661.949
9.26	81.9269	600.95
9.27	87.9364	534.589
9.28	93.2823	463.36
9.29	97.9159	387.802
9.3	101.794	308.49
9.31	104.879	226.037
9.32	107.139	141.085
9.33	108.55	54.3023
9.34	109.093	-33.6232
9.35	108.757	-121.989
9.36	107.537	-210.082
9.37	105.436	-297.187
9.38	102.464	-382.59
9.39	98.6384	-465.586
9.4	93.9825	-545.483
9.41	88.5277	-621.609
9.42	82.3116	-693.316
9.43	75.3784	-759.989
9.44	67.7785	-821.045
9.45	59.5681	-875.946
9.46	50.8086	-924.196
9.47	41.5667	-965.351
9.48	31.9132	-999.02
9.49	21.923	-1024.87
9.5	11.6743	-1042.63
9.51	1.248	-1052.08
9.52	-9.27284	-1053.09
9.53	-19.8038	-1045.58
9.54	-30.2596	-1029.54
9.55	-40.555	-1005.03
9.56	-50.6053	-972.182
9.57	-60.3272	-931.192
9.58	-69.6391	-882.327
9.59	-78.4624	-825.919
9.6	-86.7215	-762.365
9.61	-94.3452	-692.12
9.62	-101.266	-615.701
9.63	-107.423	-533.675
9.64	-112.76	-446.662
9.65	-117.227	-355.326
9.66	-120.78	-260.372
